2025-01-29 23:46:20,987 - INFO - Starting net generation
2025-01-29 23:46:20,987 - INFO - Starting geometry calculation
2025-01-29 23:46:20,987 - INFO - Output path: ./elipticalprism_net_export.pdf
2025-01-29 23:46:20,990 - DEBUG - Perimeter calculated: 53.69760360191275
2025-01-29 23:46:20,991 - INFO - Creating plot
2025-01-29 23:46:20,992 - DEBUG - Loaded backend agg version v2.2.
2025-01-29 23:46:21,005 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/Ubuntu-BI.ttf', name='Ubuntu', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-29 23:46:21,005 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2025-01-29 23:46:21,005 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/Ubuntu-B.ttf', name='Ubuntu', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-29 23:46:21,006 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/SourceCodePro-Bold.ttf', name='Source Code Pro', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-29 23:46:21,006 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/SourceCodePro-BlackIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=900, stretch='normal', size='scalable')) = 11.525
2025-01-29 23:46:21,006 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000.
2025-01-29 23:46:21,035 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0.
2025-01-29 23:46:21,035 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2025-01-29 23:46:21,035 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-01-29 23:46:21,035 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-01-29 23:46:21,036 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:21,036 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
